% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, 25%tile, current best feasible f-value, elapsed wallclock time [s], further/more values", seed=925276, Wed Jan  7 22:13:57 2026, <python>{}</python>
1 500 207.50411022622558 1.0000250003125026 -667.6570184516704 -6.6765701845167041e+02 7.978385213990521 710.6317813875726 246.87263498672746 -114.91934140650841 nan 0.0   
2 1000 218.5150544164693 1.1227005169676132 -684.9767321827067 -6.8497673218270666e+02 9.490174018513038 770.8028264396291 287.3271778371023 -131.34097732345555 nan 0.1   
3 1500 227.11097455726363 1.2304998572899633 -889.4941753706171 -8.8949417537061709e+02 -30.924115523032953 1049.131623504493 368.6393138218392 -210.88935676702823 nan 0.1   
4 2000 245.94425424212764 1.3274621712277794 -889.4941753706171 -8.5576068525896062e+02 1.0888474433169097 1049.131623504493 458.9363386140034 -223.4204638177656 nan 0.1   
5 2500 267.3756704689362 1.5244168605780013 -923.0347665144153 -9.2303476651441531e+02 -27.247722094386503 1049.131623504493 534.3181413878146 -239.2265420064964 nan 0.2   
6 3000 282.7102745384113 1.491817380480737 -931.7232993936183 -9.3172329939361828e+02 -74.0665631382474 1049.131623504493 477.32924892175515 -241.0847339170362 nan 0.2   
7 3500 289.0532902276495 1.207773736856867 -931.7232993936183 -8.9514011398440221e+02 -59.70179163320893 1049.131623504493 585.9686247424781 -239.56332456491265 nan 0.2   
8 4000 325.2523816378239 1.301456072515719 -957.3425195580403 -9.5734251955804029e+02 -99.91708490186701 1049.131623504493 492.9628940166378 -249.11377342812676 nan 0.3   
9 4500 344.7394752651875 1.313998065102997 -957.3425195580403 -8.5492180716919074e+02 -126.1679373846548 1049.131623504493 526.1675443887731 -269.0194160894473 nan 0.3   
10 5000 381.2436341417 1.7345572260200532 -957.3425195580403 -9.2330802966448164e+02 -107.02066864621119 1049.131623504493 606.1130542694486 -245.08761411615853 nan 0.3   
11 5500 389.7305739597991 1.9220434840305043 -957.3425195580403 -9.4388069884283937e+02 -126.1679373846548 1049.131623504493 504.50457636549567 -279.5097932050497 nan 0.4   
12 6000 384.43164993485794 2.1070463097439123 -959.4254656294552 -9.5942546562945518e+02 -126.1679373846548 1049.131623504493 563.2627445579999 -337.61844670582934 nan 0.4   
13 6500 372.19080267242975 2.4427057575128184 -959.4254656294552 -9.5896230158285243e+02 -126.1679373846548 1049.131623504493 516.8399520663629 -294.4054366160291 nan 0.4   
14 7000 396.0436110808686 2.307977965860404 -959.4254656294552 -8.5604883162339559e+02 -126.1679373846548 1049.131623504493 549.9515204891893 -295.2555876238424 nan 0.5   
15 7500 424.21896075694343 2.588635169203924 -959.4254656294552 -8.5843843894380325e+02 -126.1679373846548 1049.131623504493 574.1789924136447 -293.4950345754619 nan 0.5   
16 8000 466.42475711113076 3.118574324360947 -959.4254656294552 -8.5852076523898063e+02 -126.1679373846548 1049.131623504493 523.2932104692907 -302.1669667444297 nan 0.6   
17 8500 458.1921223853405 3.469445753002787 -959.4254656294552 -8.9411496107610367e+02 -160.33593517431865 762.4943754768012 396.42718754664736 -364.99856204841615 nan 0.6   
18 9000 504.2164874488997 6.48671751662405 -959.4254656294552 -8.5852570524376415e+02 -305.09781165971134 663.1421537530091 439.00085858531645 -608.7274816280268 nan 0.6   
19 9500 504.3908827313433 16.46749048020272 -959.4254656294552 -8.5860121120589815e+02 -681.5760328499254 646.6262736043225 383.879664775477 -813.5099277210427 nan 0.6   
20 10000 501.03972524264276 42.01629227618578 -959.4254656294552 -8.6215113234138050e+02 -835.169437295418 580.9518276463893 57.928611063713674 -853.5077777721226 nan 0.7   
21 10500 482.0986800563741 76.17057120073719 -959.4254656294552 -8.5860096593921833e+02 -851.8300632925851 604.7700312342197 18.431335925485655 -856.9135357504674 nan 0.7   
22 11000 517.7465455248832 133.02913620852476 -959.4254656294552 -8.5860116845777679e+02 -857.4227268605725 737.0380344019912 3.6401263794437 -858.3559648551634 nan 0.7   
23 11500 491.1304629077833 298.4429149173306 -959.4254656294552 -8.5860118424269160e+02 -858.209333811958 357.134071600442 0.9590422898681936 -858.5045657629494 nan 0.8   
24 12000 489.4127326803753 527.9126002740703 -959.4254656294552 -8.5860121501284198e+02 -858.5401562536049 -856.8399706531613 0.17872219092987507 -858.5882514694815 nan 0.8   
25 12500 468.43541824150986 990.7153392287735 -959.4254656294552 -8.5860121384100160e+02 -858.5818369482151 124.40819338973577 0.05961323777296457 -858.5975078568189 nan 0.8   
26 13000 474.0048137464294 2006.4567365632772 -959.4254656294552 -8.5860121507424105e+02 -858.596888223183 -858.5004238148799 0.010841183241268482 -858.6003156820972 nan 0.9   
27 13500 448.7442408876806 3915.3871325572472 -959.4254656294552 -8.5860121514638422e+02 -858.6002659570604 -858.5805772605254 0.002757449854357219 -858.6010474983307 nan 0.9   
28 14000 424.63787303090726 7505.924256271495 -959.4254656294552 -8.5860121514830962e+02 -858.6010164955942 -858.5945320922866 0.0006012448632191081 -858.6011633873597 nan 0.9   
29 14500 401.89848135492315 1.1048768770351516 -959.4254656294552 -8.5860121514751495e+02 -858.6011683413788 -858.599971223716 0.00012631780487026845 -858.601205096224 nan 1.0   
30 15000 386.9427126669902 2.052820490249142 -959.4254656294552 -8.5860121514854154e+02 -858.6012039862469 -858.6009602196668 2.7517508215169073e-05 -858.6012127018251 nan 1.0   
31 15500 367.26061147496694 3.9123089837552993 -959.4254656294552 -8.5860121514855359e+02 -858.6012124090348 -858.6011636213269 6.328195922833402e-06 -858.6012147094111 nan 1.1   
