% # columns="iteration, evaluation, void, void, void, xmean", seed=1009136, Thu Jan  8 23:26:20 2026, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 100 0 0 0 -9.82664255589488 22.744881378540622
2 200 0 0 0 6.752700586214832 93.29635361752469
3 300 0 0 0 -115.59091051950101 218.46138987088324
4 400 0 0 0 -171.26658635888882 336.7584288118823
5 500 0 0 0 -103.20117363282961 397.5202979932615
6 600 0 0 0 -151.672644285336 614.1426712214408
7 700 0 0 0 -48.81296579454698 599.5099799312678
8 800 0 0 0 99.87149548317227 824.3501386030331
9 900 0 0 0 131.18269723890512 1040.0800228342969
10 1000 0 0 0 195.87508418716584 875.3958730192932
11 1100 0 0 0 96.59096492708034 955.3361378699841
12 1200 0 0 0 72.28542486015456 979.2463660128672
13 1300 0 0 0 66.63527081551564 1073.780800138217
14 1400 0 0 0 95.22638541967441 1134.1060991849733
15 1500 0 0 0 79.24356857356977 1128.8698975571692
16 1600 0 0 0 123.53961376053472 1107.097900972995
17 1700 0 0 0 237.42376713241586 1110.1034916795413
18 1800 0 0 0 100.18172919143537 1084.2738960750505
19 1900 0 0 0 41.24069127824206 1017.2783843440939
20 2000 0 0 0 105.28991188918584 1042.724823954726
21 2100 0 0 0 161.65516385191714 1052.3177432364537
22 2200 0 0 0 223.22954818232654 1038.7594810669423
23 2300 0 0 0 221.09816800816395 1089.0074611281004
24 2400 0 0 0 283.1716773451519 1028.7706007279364
25 2500 0 0 0 341.62432115714523 964.7310207326996
26 2600 0 0 0 323.626884345322 943.8661068691829
27 2700 0 0 0 348.0477258627828 950.1513000142854
28 2800 0 0 0 357.44308607278964 957.0958021071326
29 2900 0 0 0 356.73885613172104 947.3512059591644
30 3000 0 0 0 355.9833203761603 939.2444028104899
31 3100 0 0 0 356.4577433581808 873.9935410476522
32 3200 0 0 0 356.3732463042813 919.6802388605271
33 3300 0 0 0 356.3323891550589 943.4012661114817
34 3400 0 0 0 356.31910778033523 973.7536066881221
35 3500 0 0 0 356.3408695675553 979.223862044868
36 3600 0 0 0 356.33784375451876 948.2812610512226
37 3700 0 0 0 356.3439175361625 967.5160852312938
38 3800 0 0 0 356.3444778562433 935.824994414084
39 3900 0 0 0 356.34417168293845 895.5816423226669
40 4000 0 0 0 356.34410540778885 849.3698520761052
41 4100 0 0 0 356.3441697559673 838.6886532444221
42 4200 0 0 0 356.3442318947064 782.2531509649064
43 4300 0 0 0 356.3442822304282 721.8730590701181
44 4400 0 0 0 356.34425852888 720.9548265642156
45 4500 0 0 0 356.34421058236467 715.8868670651143
46 4600 0 0 0 356.34418471728316 734.3861350084303
47 4700 0 0 0 356.34419285483335 737.8941457214008
48 4800 0 0 0 356.3441864627655 767.9852740677469
49 4900 0 0 0 356.3441867005595 764.2162996105161
50 5000 0 0 0 356.34418672994957 743.5485534375521
51 5100 0 0 0 356.3441866503728 734.3986463369147
52 5200 0 0 0 356.3441868012743 736.0379184384218
53 5300 0 0 0 356.34418679744357 729.1814586692859
54 5400 0 0 0 356.3441867544501 710.3644422321463
55 5500 0 0 0 356.3441867728212 718.7880187549093
56 5600 0 0 0 356.3441867557035 722.3826140939289
57 5700 0 0 0 356.34418674866373 748.3550965718382
58 5800 0 0 0 356.34418676363714 762.1437461112928
59 5900 0 0 0 356.3441868250501 767.6478068403759
60 6000 0 0 0 356.3441869253657 777.7504312412715
61 6100 0 0 0 356.3441868647408 779.7600079987265
